,codigo_trecho,vl_km_inic,vl_km_fina,vl_extensa,VMDa_C,VMDa_D,ds_sup_fed,GEH,acidentes_sem_vitima,acidentes_com_vitima,acidentes_com_mortos,acidentes_totais,UPS_medio,UPS_max,UPS_min,VDM,ICA_medio,ICA_max,ICA_min,tipo_pista,tipo_area,tipo_terreno
2372,376BPR0199,144.2,154.5,10.3,7550.0,7122.0,PAV,A,3.0,10.0,3.0,16.0,15.333333333333334,31.0,1.0,14563.0,6.4943333333333335,8.035,5.111,Simples,Rural,Plano
2373,376BPR0203,154.5,156.7,2.2,9001.0,8439.0,PAV,,1.0,1.0,0.0,2.0,6.0,6.0,6.0,15914.0,8.035,8.035,8.035,Simples,Urbana,Ondulado
2374,376BPR0204,156.7,168.0,11.3,14452.0,14594.0,DUP,A,2.0,56.0,3.0,61.0,32.1,59.0,15.0,21907.0,3.2815,4.971,2.237,Dupla,Rural,Ondulado
2375,376BPR0205,168.0,171.6,3.6,10616.0,10345.0,DUP,,3.0,20.0,0.0,23.0,34.333333333333336,47.0,21.0,19306.333333333332,4.519333333333333,4.971,3.616,Dupla,Urbana,Plano
2376,376BPR0206,171.6,175.9,4.3,10479.0,10229.0,DUP,,10.0,35.0,1.0,46.0,66.0,139.0,16.0,19791.0,4.778333333333333,4.971,4.682,Dupla,Urbana,Ondulado
2377,376BPR0207,175.9,180.9,5.0,13151.0,13070.0,DUP,,11.0,84.0,0.0,95.0,107.75,138.0,81.0,22073.0,4.971,4.971,4.971,Dupla,Urbana,Plano
2378,376BPR0209,180.9,182.8,1.9,13648.0,13523.0,DUP,,4.0,21.0,0.0,25.0,109.0,109.0,109.0,22775.0,4.971,4.971,4.971,Dupla,Urbana,Plano
2379,376BPR0210,182.8,189.0,6.2,13312.0,13215.0,DUP,,6.0,46.0,3.0,55.0,45.833333333333336,75.0,13.0,22450.0,4.971,4.971,4.971,Dupla,Urbana,Plano
2380,376BPR0215,189.0,195.4,6.4,13312.0,13215.0,PAV,,6.0,17.0,2.0,25.0,19.5,37.0,11.0,22450.0,7.877666666666666,8.035,7.799,Simples,Urbana,Plano
2381,376BPR0217,195.4,200.4,5.0,12524.0,12542.0,DUP,A,4.0,16.0,0.0,20.0,21.0,31.0,7.0,22725.0,2.2875,2.41,2.237,Dupla,Rural,Ondulado
2382,376BPR0220,200.4,210.5,10.1,2212.0,2617.0,DUP,,3.0,8.0,1.0,12.0,11.2,16.0,5.0,7855.0,2.2602,2.266,2.237,Dupla,Rural,Plano
2383,376BPR0225,210.5,213.5,3.0,2409.0,2735.0,DUP,,1.0,5.0,0.0,6.0,13.0,20.0,6.0,8260.0,3.604,4.971,2.237,Dupla,Rural,Ondulado
2384,376BPR0230,213.5,214.0,0.5,2409.0,2735.0,PAV,,0.0,1.0,0.0,1.0,5.0,5.0,5.0,8260.0,7.799,7.799,7.799,Simples,Urbana,Plano
2385,376BPR0265,231.4,242.0,10.6,1226.0,1308.0,PAV,,2.0,18.0,2.0,22.0,16.857142857142858,41.0,5.0,2090.0,7.531285714285715,8.035,6.626,Simples,Urbana,Plano
